里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,各里總案件數,女,男,小於18歲,18到65歲,大於65歲,兄弟姊妹間暴力Rank,老人保護Rank,兒少保護Rank,其他家虐Rank,親密關係Rank,低收Rank,障礙Rank
臺北市信義區松友里,1,2,1,12,14,30,76.67%,23.33%,10%,80%,10%,0.00%,50%,0%,91%,76%,54%,0%
臺北市松山區東光里,,1,2,6,21,30,73.33%,23.33%,10%,80%,10%,,0%,43%,50%,96%,91%,81%
臺北市北投區開明里,1,2,2,15,10,30,63.33%,33.33%,23%,73%,3%,0.00%,50%,43%,98%,49%,54%,81%
臺北市北投區一德里,3,,3,12,12,30,76.67%,20.00%,7%,63%,30%,87.00%,,73%,91%,64%,54%,81%
臺北市內湖區港華里,1,1,1,11,16,30,70.00%,30.00%,7%,87%,7%,0.00%,0%,0%,86%,86%,0%,1%
臺北市內湖區清白里,1,,1,7,21,30,50.00%,50.00%,3%,70%,27%,0.00%,,0%,59%,96%,71%,93%
臺北市大安區通安里,1,,6,7,16,30,60.00%,36.67%,10%,80%,10%,0.00%,,97%,59%,86%,0%,0%
臺北市大同區玉泉里,1,2,1,13,13,30,70.00%,30.00%,7%,93%,0%,0.00%,50%,0%,94%,70%,0%,0%
臺北市南港區合成里,2,2,2,8,15,29,68.97%,31.03%,10%,76%,14%,70.00%,50%,43%,70%,81%,0%,0%
臺北市北投區榮華里,,2,3,7,17,29,79.31%,13.79%,3%,59%,38%,,50%,73%,59%,88%,0%,0%
臺北市北投區振華里,3,1,,11,14,29,79.31%,20.69%,21%,59%,21%,87.00%,0%,,86%,76%,34%,1%
臺北市文山區興福里,,2,4,9,14,29,72.41%,27.59%,21%,66%,14%,,50%,89%,76%,76%,34%,1%
臺北市內湖區紫星里,1,7,1,5,15,29,72.41%,27.59%,7%,66%,28%,0.00%,99%,0%,39%,81%,0%,0%
臺北市內湖區西湖里,,1,3,15,10,29,75.86%,24.14%,7%,79%,14%,,0%,73%,98%,49%,0%,1%
臺北市大同區延平里,2,1,,7,19,29,62.07%,37.93%,14%,83%,3%,70.00%,0%,,59%,93%,54%,81%
臺北市士林區舊佳里,1,4,2,11,11,29,68.97%,31.03%,31%,69%,0%,0.00%,91%,43%,86%,55%,0%,0%
臺北市士林區名山里,,,3,11,15,29,68.97%,31.03%,14%,76%,10%,,,73%,86%,81%,0%,0%
臺北市士林區天和里,1,2,2,7,17,29,44.83%,55.17%,14%,76%,10%,0.00%,50%,43%,59%,88%,95%,96%
臺北市萬華區錦德里,,2,3,9,14,28,60.71%,35.71%,18%,61%,21%,,50%,73%,76%,76%,71%,1%
臺北市萬華區壽德里,1,,1,9,17,28,60.71%,39.29%,21%,61%,18%,0.00%,,0%,76%,88%,78%,63%
臺北市萬華區頂碩里,,,,11,17,28,71.43%,28.57%,7%,89%,4%,,,,86%,88%,34%,0%
臺北市南港區東新里,,1,3,9,15,28,60.71%,39.29%,21%,54%,25%,,0%,73%,76%,81%,54%,63%
臺北市信義區黎平里,,3,2,8,15,28,67.86%,32.14%,7%,93%,0%,,79%,43%,70%,81%,34%,0%
臺北市中山區圓山里,1,,,7,20,28,75.00%,21.43%,7%,86%,7%,0.00%,,,59%,94%,0%,0%
臺北市士林區福安里,,1,1,12,14,28,57.14%,42.86%,7%,79%,14%,,0%,0%,91%,76%,78%,0%
臺北市士林區社子里,3,2,2,13,8,28,89.29%,10.71%,0%,89%,11%,87.00%,50%,43%,94%,34%,95%,81%
